,Country,year,country,year_acq,GDP_percapita,Income,Group_GDP,ci_l,ci_r,rr_SE,realtive_risk,Feature,Region,unexposed,exposed,total
0,Costa Rica,2016,Costa Rica,2016,11899.813983374785,UM,Small Economy,0.92,1.68,0.15475884815516144,1.24,Cognition_w2,LatinAmerica,1808,155,1963
1,Mexico,2018,Mexico,2018,10130.320697617231,UM,Small Economy,1.86,2.15,0.037556623741173016,2.0,Cognition_w2,LatinAmerica,4469,2176,6645
2,China,2015,China,2015,8016.445594899985,UM,Small Economy,2.45,3.72,0.10623068992644885,3.02,Cognition_w2,Asia,3130,404,3534
3,Korea,2016,Korea,2016,29280.440317004843,H,Large Economy,1.59,2.2,0.08347185789150237,1.87,Cognition_w2,Asia,4042,548,4590
4,Austria,2020,Austria,2020,48789.49784988721,H,Large Economy,0.96,3.23,0.30945020687143915,1.76,Cognition_w2,WesternEurope,89,31,120
5,Belgium,2020,Belgium,2020,45587.96830831899,H,Large Economy,1.78,5.43,0.2847925555634499,3.11,Cognition_w2,WesternEurope,326,55,381
6,Czechia,2020,Czechia,2020,22992.87938333477,H,Large Economy,1.18,3.82,0.3001025673601676,2.12,Cognition_w2,EasternEurope,320,39,359
7,Switzerland,2020,Switzerland,2020,85897.7843338323,H,Large Economy,0.8,2.03,0.23888218547767742,1.27,Cognition_w2,WesternEurope,279,65,344
8,Germany,2020,Germany,2020,46749.4762280016,H,Large Economy,1.21,4.53,0.33571243610654683,2.34,Cognition_w2,WesternEurope,324,32,356
9,Denmark,2020,Denmark,2020,60836.59241216378,H,Large Economy,1.36,4.82,0.322766692832249,2.56,Cognition_w2,NorthernEurope,397,36,433
10,Spain,2020,Spain,2020,26984.296277027945,H,Large Economy,1.34,2.23,0.13029751787562918,1.73,Cognition_w2,SouthernEurope,173,169,342
11,France,2020,France,2020,39179.74425960567,H,Large Economy,1.55,3.59,0.21380943264167626,2.36,Cognition_w2,WesternEurope,461,80,541
12,Greece,2020,Greece,2020,17617.29150570137,H,Large Economy,1.17,1.81,0.11180835270206341,1.45,Cognition_w2,SouthernEurope,422,277,699
13,Italy,2020,Italy,2020,31922.919162618266,H,Large Economy,1.8,3.07,0.13653125612781358,2.35,Cognition_w2,SouthernEurope,304,183,487
14,Poland,2020,Poland,2020,15816.819050318963,H,Small Economy,1.74,4.81,0.25932345921518524,2.89,Cognition_w2,EasternEurope,306,81,387
15,Sweden,2020,Sweden,2020,52837.9039778149,H,Large Economy,1.6,4.41,0.25899838072484593,2.66,Cognition_w2,NorthernEurope,399,51,450
