,2.5%,97.5%,OR,Feature,Country,Region,log_OR,log_lower_CI,log_upper_CI,SE,Unexposed,Exposed,Total
0,0.6557084472676502,1.2130333208082915,0.8918498726081235,Barthel,China,Asia,-0.11445746481786005,-0.4220390289716172,0.1931240993358972,0.15692936946620265,5953,582,6535
0,0.8011003000831867,1.9956380279670636,1.2643995504039987,Barthel,Chile,LatinAmerica,0.23459734577874883,-0.22176912117221254,0.69096381272971,0.23284003415865373,870,152,1022
0,0.8346423948732085,2.1179478160314402,1.3295597156160242,Barthel,Uruguay,LatinAmerica,0.28484784653732376,-0.18075191547782832,0.7504476085524757,0.23755089898732246,1221,112,1333
0,2.495952984733509,3.3910023303643793,2.9092580476319485,Barthel,Colombia,LatinAmerica,1.0678980822244277,0.9146706140851891,1.2211255503636662,0.07817727966287681,20600,1401,22001
0,0.7128613737247265,1.1286576411856004,0.8969818485122631,Barthel,Ecuador,LatinAmerica,-0.10871965290036882,-0.3384683042247119,0.12102899842397419,0.11721869965527706,3050,576,3626
0,1.5446412097385758,2.6233406636144103,2.0129878529692524,Barthel,Brasil,LatinAmerica,0.6996201123469753,0.43479165667448844,0.9644485680194622,0.13511655901657496,8278,307,8585
0,3.1570711913073257,6.192408092835798,4.4215238543640405,Barthel,Korea,Asia,1.4864844001031297,1.1496447596248394,1.82332404058142,0.17185695942769913,8516,236,8752
0,1.8770834924452118,2.676949348337899,2.2416193771193713,Barthel,Mexico,LatinAmerica,0.8071985408884449,0.6297192384718824,0.9846778433050072,0.09055066449824613,5187,814,6001
0,1.2707174717196565,3.7888041116738624,2.1941967964672746,Barthel,Austria,WesternEurope,0.7858160553998571,0.23958167931483337,1.3320504314848807,0.2786910082066447,1221,75,1296
0,1.3203874856159274,3.4704267662349957,2.140632633564956,Barthel,Belgium,WesternEurope,0.7611014085070378,0.2779252432300296,1.244277573784046,0.24651845167194292,1842,91,1933
0,1.3131569083199084,3.413387401600659,2.1171474316126515,Barthel,Czechia,EasternEurope,0.7500696314910328,0.272434091851577,1.2277051711304887,0.24369160185686523,1894,93,1987
0,0.6972624205231458,4.242437330945653,1.719910498337899,Barthel,Switzerland,WesternEurope,0.5422722536213911,-0.36059343904675806,1.4451379462895404,0.46064576156538223,1219,27,1246
0,1.322990191170681,3.6131519821580262,2.186358760954837,Barthel,Germany,WesternEurope,0.7822374938342069,0.2798944710242163,1.2845805166441977,0.2562974606173422,2034,88,2122
0,1.1516024556293225,8.300468405906546,3.091737343164129,Barthel,Denmark,NorthernEurope,1.1287331798867253,0.14115441211668991,2.1163119476567607,0.503866718250018,1277,25,1302
0,1.5902693107681256,3.0163986638516462,2.1901794958781924,Barthel,Estonia,NorthernEurope,0.7839835020579577,0.46390337973092155,1.1040636243849937,0.1633061848607327,3047,232,3279
0,1.0107001914313793,3.344913631008855,1.8386693142547628,Barthel,Spain,SouthernEurope,0.609042111211925,0.010643349503210428,1.2074408729206396,0.30530549066771157,1377,73,1450
0,0.7276262875048358,2.424925858700473,1.3283221747907024,Barthel,France,WesternEurope,0.28391662313027993,-0.3179677039297369,0.8858009501902967,0.3070838403367433,1459,60,1519
0,1.5894029052389214,6.58579144737749,3.235347903975618,Barthel,Hungary,EasternEurope,1.1741364659032543,0.46335841440632913,1.8849145174001793,0.36264186300863527,678,52,730
0,4.8278067685700785,20.56508961662118,9.96414968009684,Barthel,Italy,SouthernEurope,2.2989936193763088,1.5743922793544063,3.023594959398211,0.3696945612356645,2058,77,2135
0,1.1564040567276321,5.1190784181779225,2.4330480984739737,Barthel,Netherlands,WesternEurope,0.8891448328102411,0.1453152392199956,1.6329744264004868,0.3795048946889008,937,39,976
0,1.2651882254575515,3.838751890733182,2.203802099238617,Barthel,Poland,EasternEurope,0.7901840956251366,0.23522090593873504,1.3451472853115383,0.28314448453387836,1633,86,1719
0,0.5835077468949099,4.997451094093635,1.707644994760937,Barthel,Sweden,NorthernEurope,0.5351152252622625,-0.5386975507456991,1.608928001270224,0.5478636612285519,1333,22,1355
0,1.641647075118367,3.2168141251693214,2.298015121748259,Barthel,Slovenia,EasternEurope,0.8320457598001522,0.49570005194668193,1.1683914676536222,0.1716049529864644,2914,208,3122
0,2.5698357422006763,13.654793069184029,5.923729845421986,Barthel,Israel,Asia,1.7789662919595386,0.9438419833239782,2.614090600595099,0.4260838309365104,357,38,395
0,1.2047275111979134,5.943530737969045,2.6758802278281713,Barthel,Luxembourg,WesternEurope,0.9842783833525721,0.18625340958500694,1.7823033571201372,0.4071555988610026,1081,34,1115
