,2.5%,97.5%,OR,Feature,Country,Region,log_OR,log_lower_CI,log_upper_CI,SE,Unexposed,Exposed,Total
0,0.4176297226532578,0.7124593336381597,0.5454761167173404,Cognition,China,Asia,-0.6060962570371659,-0.8731600700105615,-0.33903244406377053,0.13625704743540587,5911,641,6552
0,0.8476164164584252,5.209796533095841,2.1014064499425675,Cognition,Chile,LatinAmerica,0.7426068586228134,-0.16532708460846388,1.6505408018540906,0.4632316036894271,985,50,1035
0,0.47502733164698857,15.010594957704347,2.670288911183963,Cognition,Uruguay,LatinAmerica,0.9821866729942054,-0.7443829362934263,2.708756282281837,0.8809028618814447,1322,13,1335
0,11.634612677634829,20.436915674774717,15.419974001323345,Cognition,Colombia,LatinAmerica,2.7356636820976625,2.4539845067832897,3.0173428574120353,0.14371386495631266,20530,1303,21833
0,0.8425729557885099,3.4851047867438116,1.713608777229919,Cognition,Ecuador,LatinAmerica,0.5386015427978552,-0.1712950260969727,1.2484981116926832,0.36219212698715714,3540,97,3637
0,1.1527690263926778,1.4792347027788142,1.3058391739140756,Cognition,Brasil,LatinAmerica,0.2668458792546049,0.14216689718874823,0.39152486132046177,0.06361172554380448,6747,1790,8537
0,2.460387722029871,3.387553941485366,2.88698737879896,Cognition,Korea,Asia,1.0602135289355163,0.900318948106277,1.2201081097647557,0.08157886777002007,7773,982,8755
0,2.174189580724573,2.793497096763204,2.4644659221760206,Cognition,Mexico,LatinAmerica,0.9019751195878899,0.7766559885421587,1.0272942506336211,0.0639383321661894,3595,2404,5999
0,1.1984453427755013,2.4020525834887088,1.6966816825155813,Cognition,Austria,WesternEurope,0.5286743920608059,0.18102516915942793,0.8763236149621841,0.17737205250070312,1095,214,1309
0,1.1631748273892673,2.3808147018209915,1.6641225104650383,Cognition,Belgium,WesternEurope,0.5092979637664445,0.15115318673529296,0.8674427407975961,0.18272692705670998,1739,188,1927
0,0.9290921090008608,1.8542259261113196,1.3125344476450287,Cognition,Czechia,EasternEurope,0.2719599609640099,-0.07354739653543979,0.6174673184634594,0.17627926403033142,1814,192,2006
0,0.8240015538001402,2.517709550272492,1.4403459936563803,Cognition,Switzerland,WesternEurope,0.3648833580993717,-0.1935828633946615,0.9233495795934049,0.28493174566022106,1173,77,1250
0,1.1773451730997828,2.6495674355443897,1.7661980158069923,Cognition,Germany,WesternEurope,0.5688292226270625,0.16326205044980746,0.9743963948043176,0.2069220266210485,1980,137,2117
0,0.6254291255538322,2.0409294940240006,1.129803854111171,Cognition,Denmark,NorthernEurope,0.12204403722483033,-0.4693172639621553,0.7134053384118157,0.3017149495851967,1236,68,1304
0,1.8036305310822363,3.077971400918114,2.3561670553027163,Cognition,Estonia,NorthernEurope,0.857036169601037,0.5898015952781577,1.1242707439239161,0.13634417057289758,2963,338,3301
0,0.8112696103390089,1.3671698443779108,1.0531587472530963,Cognition,Spain,SouthernEurope,0.05179397891457261,-0.2091548382649252,0.3127427960940703,0.13313715162219272,1013,448,1461
0,1.2459097218699384,2.4858357092851713,1.7598655849722866,Cognition,France,WesternEurope,0.5652374339587203,0.21986596338232275,0.9106089045351178,0.17620993396754975,1320,207,1527
0,1.9493472289562663,6.669820568203826,3.6058003608441274,Cognition,Hungary,EasternEurope,1.2825437601992085,0.6674945621514983,1.8975929582469186,0.31380061124883174,664,68,732
0,2.619177447762235,4.253591580868746,3.3378003446285898,Cognition,Italy,SouthernEurope,1.2053120105773818,0.9628603172442107,1.4477637039105529,0.12369984353733218,1658,491,2149
0,0.7312662851271476,1.8101705633237068,1.1505288798149498,Cognition,Netherlands,WesternEurope,0.14022173214689998,-0.3129776104247021,0.5934210747185023,0.23122415437326643,843,132,975
0,1.7288234827992703,3.314823923330473,2.393897541666838,Cognition,Poland,EasternEurope,0.8729228082528537,0.5474411094126359,1.1984045070930716,0.1660620912450091,1472,253,1725
0,2.1290066489223136,5.657086146335625,3.470442913962835,Cognition,Sweden,NorthernEurope,1.2442822267248397,0.7556555089324468,1.7329089445172325,0.24929934581244534,1268,99,1367
0,1.824733389537052,2.9824082480113874,2.3328308792917416,Cognition,Slovenia,EasternEurope,0.8470824997523703,0.6014338884376716,1.092731111067069,0.1253309241401524,2734,411,3145
0,2.262114882241828,7.452680564750278,4.105949295609486,Cognition,Israel,Asia,1.4124369696674708,0.8163001643095842,2.0085737750253574,0.3041514313050442,318,81,399
0,1.5180085327462114,3.75707699356329,2.388153038315082,Cognition,Luxembourg,WesternEurope,0.8705202798735109,0.4173993000025752,1.3236412597444462,0.23118417340353853,998,114,1112
0,1.7294498627819594,2.666468078455302,2.147445657612084,Cognition,Greece,SouthernEurope,0.7642790696024698,0.5478033595455465,0.9807547796593932,0.11044679084536906,1930,613,2543
0,1.7528740725229237,3.0079621629016837,2.2962096782481205,Cognition,Croatia,EasternEurope,0.8312597975664013,0.5612567679469018,1.1012628271859008,0.13775664776505078,2161,344,2505
0,1.7076035174503306,3.7523274124034884,2.5313015403237706,Cognition,Bulgaria,EasternEurope,0.9287336132748083,0.5350909357791048,1.3223762907705119,0.20083810076311404,704,179,883
0,2.646879713394312,6.950183475488822,4.289090771438596,Cognition,Cyprus,SouthernEurope,1.4560747690875708,0.973381479595988,1.9387680585791536,0.24627208647529736,385,135,520
0,0.6693721442475024,1.6372963257483237,1.0468813458719726,Cognition,Finland,NorthernEurope,0.045815597741373414,-0.4014151040861398,0.4930462995688865,0.22817892950383323,1015,119,1134
0,1.4284879279267504,2.881617545721461,2.0288804491554,Cognition,Lithuania,NorthernEurope,0.7074841380409325,0.35661649177916344,1.0583517843027015,0.17901410523559644,1181,211,1392
0,0.7823973771065484,1.8603687644285656,1.2064607916297405,Cognition,Latvia,NorthernEurope,0.18769110794174546,-0.2453925126360796,0.6207747285195704,0.22096103090705357,626,139,765
0,1.179335824496051,2.499499628863711,1.7169011199348545,Cognition,Malta,SouthernEurope,0.5405209914013899,0.16495141941551542,0.9160905633872646,0.19161712856422172,540,237,777
0,1.5036213490600259,2.7307039770771158,2.026313104605572,Cognition,Romania,EasternEurope,0.7062179371265725,0.40787643123705825,1.004559443016087,0.15221505402526242,918,326,1244
0,1.8806641359769345,4.421721766090259,2.883708297445243,Cognition,Slovak Republic,EasternEurope,1.0590770691772455,0.6316249782764052,1.4865291600780859,0.2180878014800206,807,153,960
0,1.6372273785500662,3.2632657645125285,2.311429871993746,Cognition,Costa Rica,LatinAmerica,0.8378663252421313,0.4930041882852349,1.1827284621990275,0.17595006987596748,2329,207,2536
